processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
LPSOB166-08	PPBP-1165	827607	PPBP-1165	L#BNP-013	Centre for Biodiversity Genomics		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758		Vouchered:Registered Collection			BIObus 2008				Daytime netting	BIOUG:BRUCE-NP	Sweep Net	A		S				Bruce Peninsula NP		45.23	-81.53			228				Canada	Ontario	Bruce Peninsula National Park	Bruce Peninsula	Gate house	316778	http://www.boldsystems.org/pics/LPSOB/LPSOB166-08__PPBP-1165+1218567952.JPG	Dorsal		CBG Photography Group	2008	CreativeCommons - Attribution	Centre for Biodiversity Genomics	CBG Photography Group
LSER159-06	2005-TASER-SBP-2159	230533		2005-TASER-SBP-2159	Serengeti Wildlife Research Centre		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758					A. Sinclair														385									Tanzania		Serengeti		KOG_8									
LYPAP513-09	MAL-02607	1143012	L-74488	L-74488	El Colegio de la Frontera Sur		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19690	Danaus eresimus			Aixchel Maya		Cramer, 1777					Yara Vazquez							A	M	S				montezuma		20.789	-89.591							Mexico	Yucatan			Reserva Cuxtal, Dzoyaxche									
LYPAP515-09	MAL-02609	1143014	L-75373	L-75373	El Colegio de la Frontera Sur		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19690	Danaus eresimus			Aixchel Maya		Cramer, 1777					Emigdio May							A		S				montezuma		18.121	-89.795			250				Mexico	Campeche	Calakmul		Reserva de la Biosfera de Calakmul: Zona Arqueolog									
LYPAP518-09	MAL-02612	1143017	L-40220	L-40220	El Colegio de la Frontera Sur		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus			Blanca Prado		Cramer, 1775					Emigdio May							A		S				thersippus		18.058	-89.293			280				Mexico	Campeche	Calakmul		Reserva de la Biosfera de Calakmul, Ejido Plan de									
LYPAP520-09	MAL-02614	1143019	L-87328	L-87328	El Colegio de la Frontera Sur		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus			Aixchel Maya		Cramer, 1775					Aixchel Maya							A		S				thersippus		21.228	-88.923			9				Mexico	Yucatan			Temax, hacienda Chucmichen									
LYPAP535-09	MAL-02629	1143034	L-77226	L-77226	El Colegio de la Frontera Sur		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Aixchel Maya		Linnaeus, 1758					Emigdio May							A		S				plexippus		19.786	-87.621			30				Mexico	Quintana Roo			Reserva de la Biosfera Sian ka`an: 27 km Chumpon-L									
LYPAP538-09	MAL-02632	1143037	L-13461	L-13461	El Colegio de la Frontera Sur			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Armando Luis		Linnaeus, 1758					Santiago Uc							A		S				plexippus		18.253	-89.451			240				Mexico	Campeche			Ejido Narciso Mendoza									
MABUT112-10	NIBGE BUT-00112	1680508	BUT-00112		National Institute for Biotechnology and Genetic Engineering		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Muhammad Ashfaq		Linnaeus, 1758					S. Akhtar							A								31.75	72.95	GPS		185				Pakistan	Punjab	Chinot	Rabwah										
MHACG742-05	98-SRNP-7254	40308	98-SRNP-7254	98-SRNP-7254	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758					Gloria Sihezar					DHJ:ACG		A	M	S						10.872	-85.393			630				Costa Rica	Alajuela	Area de Conservacion Guanacaste	Sector San Cristobal	Sendero Pinyal	47480|22024|47479|22025	http://www.boldsystems.org/pics/MHAAA/98-SRNP-7254-DHJ96735.jpg|http://www.boldsystems.org/pics/MHACG/98-SRNP-7254-DHJ96734.jpg|http://www.boldsystems.org/pics/MHAAA/98-SRNP-7254-DHJ96734.jpg|http://www.boldsystems.org/pics/MHACG/98-SRNP-7254-DHJ96735.jpg	Ventral|Dorsal|Dorsal|Ventral	Ventral|Dorsal|Dorsal|Ventral	Daniel H. Janzen|Daniel H. Janzen|Daniel H. Janzen|Daniel H. Janzen	2005|2005|2005|2005	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen|Daniel H. Janzen|Daniel H. Janzen
MHMXY650-09	08-SRNP-12361	1109923	08-SRNP-12361	08-SRNP-12361	Research Collection of D. H. Janzen & W. Hallwachs		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Daniel H. Janzen		Linnaeus, 1758					Johan Vargas					DHJ:ACG		A		S						10.763	-85.56			95				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Horizontes	Vado Esteron	1411604|1411605	http://www.boldsystems.org/pics/MHMXY/08-SRNP-12361-DHJ395020+1237996008.jpg|http://www.boldsystems.org/pics/MHMXY/08-SRNP-12361-DHJ395021+1237996008.jpg	Specimen|Specimen	|	Daniel H. Janzen|Daniel H. Janzen	2010|2010	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
MHMXY653-09	08-SRNP-70296	1109926	08-SRNP-70296	08-SRNP-70296	Research Collection of D. H. Janzen & W. Hallwachs		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Daniel H. Janzen		Linnaeus, 1758					Ronald Siezar					DHJ:ACG		A		S						10.997	-85.397			470				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Pitilla	Estacion Quica	589215|589216	http://www.boldsystems.org/pics/MHMXY/08-SRNP-70296-DHJ395026+1238376746.jpg|http://www.boldsystems.org/pics/MHMXY/08-SRNP-70296-DHJ395027+1238376786.jpg	Dorsal|Ventral	|	Daniel H. Janzen|Daniel H. Janzen	2009|2009	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
MHMYK6195-15	14-SRNP-58063	6305451	14-SRNP-58063	14-SRNP-58063	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758																				10.7621	-85.3239			784				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Pailas	PL13	2915187|2915192	http://www.boldsystems.org/pics/MHMYK/14-SRNP-58063-DHJ904950+1468513686.jpg|http://www.boldsystems.org/pics/MHMYK/14-SRNP-58063-DHJ904951+1468513686.jpg	Dorsal|Dorsal	|	|	2016|2016	CreativeCommons – Attribution Non-Commercial Share-Alike|CreativeCommons – Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
MHMYL8070-16	16-SRNP-36013	7359046	16-SRNP-36013	16-SRNP-36013	University of Pennsylvania		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	402976	Danaus montezuma			Daniel H. Janzen							Dunia Garcia							adult	M	S						10.9047	-85.468			820				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Cacao	Rancho Harold									
MHMYL8077-16	16-SRNP-36012	7359053	16-SRNP-36012	16-SRNP-36012	University of Pennsylvania		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	402976	Danaus montezuma			Daniel H. Janzen							Dunia Garcia							adult	F	S						10.9047	-85.468			820				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Cacao	Rancho Harold									
MHMYN2078-13	13-SRNP-69233	3515582	13-SRNP-69233	13-SRNP-69233	University of Pennsylvania			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Daniel H. Janzen		Linnaeus, 1758																				10.9474	-85.315			491				Costa Rica	Alajuela	Area de Conservacion Guanacaste	Sector Rincon Rain Forest	Flecha	3155549|3155552	http://www.boldsystems.org/pics/MHMYN/13-SRNP-69233-DHJ570134+1499266750.jpg|http://www.boldsystems.org/pics/MHMYN/13-SRNP-69233-DHJ570135+1499266750.jpg	Dorsal|Ventral	|	Daniel H. Janzen|Daniel H. Janzen	2017|2017	CreativeCommons – Attribution Non-Commercial Share-Alike|CreativeCommons – Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
MHMYN2079-13	13-SRNP-69225	3515583	13-SRNP-69225	13-SRNP-69225	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Daniel H. Janzen		Linnaeus, 1758																				10.944	-85.3174			455				Costa Rica	Alajuela	Area de Conservacion Guanacaste	Sector Rincon Rain Forest	Cafecito	3155545|3155547	http://www.boldsystems.org/pics/MHMYN/13-SRNP-69225-DHJ570136+1499266750.jpg|http://www.boldsystems.org/pics/MHMYN/13-SRNP-69225-DHJ570137+1499266750.jpg	Dorsal|Ventral	|	Daniel H. Janzen|Daniel H. Janzen	2017|2017	CreativeCommons – Attribution Non-Commercial Share-Alike|CreativeCommons – Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
MHMYQ1093-12	12-SRNP-12008	2543149	12-SRNP-12008	12-SRNP-12008	University of Pennsylvania		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	962968	Danaus thersippusDHJ02			Daniel H. Janzen																						10.8487	-85.6305			285				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Santa Rosa	Laguna Escondida	1744864|1744862	http://www.boldsystems.org/pics/MHMYQ/12-SRNP-12008-DHJ556099+1343250828.jpg|http://www.boldsystems.org/pics/MHMYQ/12-SRNP-12008-DHJ556098+1343250828.jpg	Ventral|Dorsal	|	Daniel H. Janzen|Daniel H. Janzen	2012|2012	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
MHMYS762-12	12-SRNP-13181	2821511	12-SRNP-13181	12-SRNP-13181	University of Pennsylvania		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	962968	Danaus thersippusDHJ02			Daniel H. Janzen																						10.8352	-85.6248			285				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Santa Rosa	Corta Fuegos Naranjo	1987820|1987823	http://www.boldsystems.org/pics/MHMYS/12-SRNP-13181-DHJ562870+1365548462.jpg|http://www.boldsystems.org/pics/MHMYS/12-SRNP-13181-DHJ562871+1365548462.jpg	Adult|Adult	|	Daniel H. Janzen|Daniel H. Janzen	2013|2013	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
NZPWP089-12	DW111	2580059	DW111	DW111	Landcare Research, New Zealand Arthropod Collection			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			Darren F. Ward	DNA	Linnaeus, 1758		No Specimen			DF Ward													Monarch butterfly	ex DNA from the gut of paper wasp Polistes chinensis antennalis larvae	-36.997	174.568							New Zealand		AK		Huia									
