processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
ANICT1126-11	11ANIC-07126	1891869	ANIC Database No. 31 045062	11ANIC-07126	Australian National Insect Collection			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			ANIC Curators		Linnaeus, 1758					E.D.Edwards							A		S						-11.09	132.09							Australia	Northern Territory			Black Point, Cobourg Pen.	1095653	http://www.boldsystems.org/pics/ANICT/11ANIC_07126+1301894562.JPG	Dorsal		CSIRO/CBG Photography Group	2011	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Jaclyn McCormick
ANICT932-11	11ANIC-06932	1891675	ANIC Database No. 31 045058	11ANIC-06932	Australian National Insect Collection		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus			ANIC Curators		Linnaeus, 1758					P.G.Fontana							A		S						-35.12	138.475							Australia	South Australia			O`Sullivan`s Beach, Adelaide	1094875	http://www.boldsystems.org/pics/ANICT/11ANIC_06932+1301865816.JPG	Dorsal		CSIRO/CBG Photography Group	2011	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Jaclyn McCormick
ASARD2237-12	INB0003720014	2396439	INB0003720014	INB0003720014	Instituto Nacional de Biodiversidad, Costa Rica		BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	402976	Danaus montezuma			Daniel H. Janzen							J. Montero							A	M	S						8.992	-83.527			100				Costa Rica	Puntarenas	Osa	Cortes	Rio Balsar, Sector la Fuente	1506842|1506841	http://www.boldsystems.org/pics/ASARD/INB0003720014-IACH001434+1327952898.jpg|http://www.boldsystems.org/pics/ASARD/INB0003720014-IACH001433+1327952898.jpg	Body|Body	|	National Biodiversity Institute of Costa Rica|National Biodiversity Institute of Costa Rica	2012|2012	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	National Biodiversity Institute of Costa Rica|National Biodiversity Institute of Costa Rica	|
BKKP004-18	1LPF004	9026115	1LPF004	1LPF004	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.731	100.541							Thailand	Bangkok	Bangkok Metropolitan Region		Lumphini Park	3527192	http://www.boldsystems.org/pics/BKKP/1LPF004+1502351864.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP086-18	3LPF010	9026197	3LPF010	3LPF010	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.731	100.541							Thailand	Bangkok	Bangkok Metropolitan Region		Lumphini Park	3528666	http://www.boldsystems.org/pics/BKKP/3LPF010+1502357104.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP095-18	1CHF007	9026206	1CHF007	1CHF007	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.807	100.555							Thailand	Bangkok	Bangkok Metropolitan Region		Chatuchak Park	3527176	http://www.boldsystems.org/pics/BKKP/1CHF007+1502360092.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP159-18	2QSF001	9026270	2QSF001	2QSF001	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.806	100.549							Thailand	Bangkok	Bangkok Metropolitan Region		Queen Sirikit Park	3527406	http://www.boldsystems.org/pics/BKKP/2QSF001+1502366404.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP351-18	1RMH002	9026462	1RMH002	1RMH002	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.688	100.665							Thailand	Bangkok	Bangkok Metropolitan Region		Rama XI Park	3527279	http://www.boldsystems.org/pics/BKKP/1RMH002+1502384144.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP421-18	1WRW001	9026532	1WRW001	1WRW001	Naresuan University		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.848	100.775							Thailand	Bangkok	Bangkok Metropolitan Region		Wareepirom Park	3529178	http://www.boldsystems.org/pics/BKKP/1WRW001+1502956136.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP535-18	3WRH004	9026646	3WRH004	3WRH004	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.848	100.775							Thailand	Bangkok	Bangkok Metropolitan Region		Wareepirom Park	3529051	http://www.boldsystems.org/pics/BKKP/3WRH004+1502969476.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP585-18	2TBF001	9026696	2TBF001	2TBF001	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.652	100.492							Thailand	Bangkok	Bangkok Metropolitan Region		Thonburirom Park	3527577	http://www.boldsystems.org/pics/BKKP/2TBF001+1502976434.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP605-18	2TBH009	9026716	2TBH009	2TBH009	Naresuan University		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.652	100.492							Thailand	Bangkok	Bangkok Metropolitan Region		Thonburirom Park	3533403	http://www.boldsystems.org/pics/BKKP/2TBH009+1502979244.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP610-18	2TBG002	9026721	2TBG002	2TBG002	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.652	100.492							Thailand	Bangkok	Bangkok Metropolitan Region		Thonburirom Park	3533389	http://www.boldsystems.org/pics/BKKP/2TBG002+1503262698.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP624-18	1TWG003	9026735	1TWG003	1TWG003	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Gary Sing Kong Wah		Cramer, 1779					Narong Jaturas							Adult			Park					13.744	100.352							Thailand	Bangkok	Bangkok Metropolitan Region		Thawee Wanarom Park	3527346	http://www.boldsystems.org/pics/BKKP/1TWG003+1503262402.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BKKP630-18	3TBF004	9026741	3TBF004	3TBF004	Naresuan University			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus			Gary Sing Kong Wah		Linnaeus, 1758					Narong Jaturas							Adult			Park					13.652	100.492							Thailand	Bangkok	Bangkok Metropolitan Region		Thonburirom Park	3528777	http://www.boldsystems.org/pics/BKKP/3TBF004+1503264324.JPG	Dorsal		Sing Kong Wah	2018	CreativeCommons - Attribution Non-Commercial No Derivatives	Kunming Institute of Zoology	Sing Kong Wah
BLPEE7768-14	14-SRNP-40926	4755534	14-SRNP-40926	14-SRNP-40926	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758																				10.9053	-85.2788			405				Costa Rica	Alajuela	Area de Conservacion Guanacaste	Sector Rincon Rain Forest	Sendero Anonas	2446447|2446448	http://www.boldsystems.org/pics/BLPEE/14-SRNP-40926-DHJ583698+1412621788.jpg|http://www.boldsystems.org/pics/BLPEE/14-SRNP-40926-DHJ583699+1412621788.jpg	Dorsal|Ventral	|	Daniel H. Janzen|Daniel H. Janzen	2014|2014	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
BLPEE7773-14	12-SRNP-77235	4755539	12-SRNP-77235	12-SRNP-77235	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758																				10.9301	-85.2521			109				Costa Rica	Alajuela	Area de Conservacion Guanacaste	Sector Rincon Rain Forest	Quebrada Bambu	2445803|2445804	http://www.boldsystems.org/pics/BLPEE/12-SRNP-77235-DHJ583708+1412621738.jpg|http://www.boldsystems.org/pics/BLPEE/12-SRNP-77235-DHJ583709+1412621738.jpg	Dorsal|Ventral	|	Daniel H. Janzen|Daniel H. Janzen	2014|2014	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
BOPM163-12	UMKL-JJW0163	2578126	UMKL-JJW0163	UMKL-JJW0163	University of Malaya, Museum of Zoology		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia	481207	Danaus genutia intermedius	Mohd Sofian Azirun							Mohd Sofian Azirun							A		S				TAX MATCH		3.085	102.114							Malaysia	Negeri Sembilan	Jelebu		Hutan Simpan Kenaboi, N9									
GBART37024-23	AF454923	19992311						20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	770833	Danaus chrysippus chrysippus																															India													
GBART37266-23	AF394670	19992553						20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	27326	Danaus ismare	794058	Danaus ismare ismareola																															Indonesia													
GBCAB37366-24	OP558808	20711341	BC-ZSM-Lep92501				BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758																												Bolivia													
GBCAB37900-24	OQ423205	20711875	ZSI/ANRC/T/16644				BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																												India													
GBCAB38743-24	OP558810	20712718	BC-ZSM-Lep92500				BOLD:AAB3218	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19690	Danaus eresimus					Cramer, 1777																												Cuba													
GBGL21770-19	KP007559	9757059	MCZ:ICS01		Mined from GenBank, NCBI		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794040	Danaus affinis abigar																							15.5865	121.822	Coordinates from country centroid						Philippines													
GBGL21780-19	KP007579	9757069	MCZ:BM108		Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	770833	Danaus chrysippus chrysippus																							0.15592	113.965	Coordinates from country centroid						Indonesia													
GBGL21785-19	KP007583	9757074	RMBR:CE-008		Mined from GenBank, NCBI		BOLD:ADR6572	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	770833	Danaus chrysippus chrysippus																							1.28217	32.3437	Coordinates from country centroid						Uganda													
GBGL21802-19	KP007687	9757091	MCZ:DL-10-Z121		Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	724350	Danaus melanippus	794065	Danaus melanippus edmondii			(Bougaunville, 1837)																				15.4083	121.392							Philippines													
GBGL21807-19	KP007693	9757096	MCZ:X001		Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	724350	Danaus melanippus	794063	Danaus melanippus thoe																							1.1626	116.92							Indonesia													
GBGL21810-19	AY569150	9757099			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus	794067	Danaus plexippus megalippe																							4.18775	-72.6445	Coordinates from country centroid						Colombia													
GBGL21820-19	AY569130	9757109			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus	216951	Danaus plexippus plexippus																							38.8208	-96.3316	Coordinates from country centroid						United States													
GBGL21830-19	AY569132	9757119			Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus	216951	Danaus plexippus plexippus																							38.8208	-96.3316	Coordinates from country centroid						United States													
GBGL26837-19	GU012627	9762126	F229		Mined from GenBank, NCBI			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																				23.5863	81.173	Coordinates from country centroid						India													
GBGL26848-19	KP007696	9762137	BMNH:JTDL-041D		Mined from GenBank, NCBI		BOLD:AAB3216	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	791725	Danaus petilia																									-7.15691	144.835	Coordinates from country centroid						Papua New Guinea													
GBLN5577-15	KJ459750	5648961		KJ459750	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																		taxon:151541																							
GBMIN22829-13	JX261941	3179059	BUZOOUGC-Dg	JX261941	Mined from GenBank, NCBI		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia					Cramer, 1779					Chithravel Vadivalagan													Danaus genutia		11.16	76.4681							India		Nbr Mukuruthi National Park											
GBMIN70706-17	KP007549	8410442	MCZ:BB56	KP007549	Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794039	Danaus affinis affinis																							0.15592	113.965	Coordinates from country centroid						Indonesia		Maluku, Buru											
GBMIN70709-17	KP007561	8410445	BMNH:JTDL-004D	KP007561	Mined from GenBank, NCBI		BOLD:AAI9597	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794043	Danaus affinis ferruginea																							-7.15691	144.835	Coordinates from country centroid						Papua New Guinea		D`Entrecasteaux group, Goodenough											
GBMIN70713-17	KP007567	8410449	BMNH:JTDL-031D	KP007567	Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	34928	Danaus affinis	794043	Danaus affinis ferruginea																							-7.15691	144.835	Coordinates from country centroid						Papua New Guinea		Engineer group, Kwaraiwa											
GBMIN70720-17	KP007629	8410456	MCZ:RM04	KP007629	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	794047	Danaus chrysippus bataviana																							0.15592	113.965	Coordinates from country centroid						Indonesia		Java, East Java											
GBMIN70728-17	KP007627	8410464	MCZ:RE-02-A045	KP007627	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	770833	Danaus chrysippus chrysippus																							11.4422	107.338							Vietnam		Dong Nai, Cat Tien National Park											
GBMIN70749-17	KP007618	8410485	ANIC:MFB-10-P022	KP007618	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus	770833	Danaus chrysippus chrysippus																							23.5863	81.173	Coordinates from country centroid						India													
GBMIN70769-17	KP007655	8410505	MCZ:DL-08-T028	KP007655	Mined from GenBank, NCBI		BOLD:AAI9595	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia	650552	Danaus genutia genutia																							7.7611	98.7703							Thailand		Krabi, Phi Phi Don Island											
GBMIN70770-17	KP007661	8410506	MCZ:RM15	KP007661	Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia	794049	Danaus genutia intensa																							0.15592	113.965	Coordinates from country centroid						Indonesia		Bali											
GBMIN70777-17	KP007651	8410513	MCZ:BB52	KP007651	Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia	794052	Danaus genutia wetterensis																							0.15592	113.965	Coordinates from country centroid						Indonesia		Maluku, Wetar											
GBMIN70783-17	KP007664	8410519	MCZ:DC-98-U667	KP007664	Mined from GenBank, NCBI		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus	216950	Danaus gilippus thersippus												Jacopo D'Ercole GPS coordinates (Jun 2022)											31.52	-110.33		5000					United States		Arizona, Garden Canyon											
GBMIN70796-17	KP007692	8410532	MCZ:RM18	KP007692	Mined from GenBank, NCBI		BOLD:ADK2142	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	724350	Danaus melanippus	794066	Danaus melanippus haruhasa																							0.15592	113.965	Coordinates from country centroid						Indonesia		East Nusa Tunggara, Sumba											
GBMIN70802-17	KP007714	8410538	MCZ:NC-11-J100	KP007714	Mined from GenBank, NCBI		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus	794067	Danaus plexippus megalippe																							19.0611	-70.8593							Dominican Republic		La Vega, La Cienega											
GBMNA10143-19	KF690637	9627141	KF690637		Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																																									
GBMNA10144-19	KC836923	9627142	KC836923		Mined from GenBank, NCBI		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758																				23.8744	-101.554	Coordinates from country centroid						Mexico													
GBMNC57026-20	MH675603	12446801		MH675603	Mined from GenBank, NCBI		BOLD:ABY8587	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia					Cramer, 1779																				29.99	78.28							India													
GBMNC57129-20	MH635347	12446904		MH635347	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																				29.22	79.28							India													
GBMNF23069-22	MW305843	15315218	DMEX3	MW305843	Mined from GenBank, NCBI		BOLD:ABX5122	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31524	Danaus chrysippus					Linnaeus, 1758																																									
KHCBT556-11	YB-khc8335	2074120		khc8335	Smithsonian Tropical Research Institute, Center for Tropical Forest Science, Khao Chong, Arthropod Laboratory			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	31512	Danaus genutia			Pitoon Kongnoo		Cramer, 1779					Kongnoo,Tongrod & Rienkaw													LEDANA-133000025	hc-khc-nov2010-a	7.53333	99.7833			236				Thailand	Trang	Khaobantot Mountains	Khao Chong	Khao Chong area									
LEPPA042-11	MACN-Bar-Lep-ct 03119	2169740	MACN-Bar-Lep 03119		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	172067	Danaus erippus			Ezequiel O. Nunez Bustos		Cramer, 1775					Pablo Tubaro							A	M	S						-35.13	-57.38			15				Argentina	Buenos Aires	Partido de Magdalena	Estancia El Destino										
LEPPA726-13	MACN-Bar-Lep-ct 03603	3292886	MACN-Bar-Lep 03603		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus			Ezequiel O. Nunez Bustos		Cramer, 1775					Ezequiel Nunez Bustos, Cecilia Kopuchian y Pablo Lavinia							adult	M	S						-27.5529	-58.6795			55				Argentina	Corrientes	Departamento Capital	San Cayetano	EBCO									
LNAUW030-17	CCDB-30813-C06	7897264	USNM ENT 01299667		Smithsonian Institution, National Museum of Natural History			20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19690	Danaus eresimus			USNM Curators		Cramer, 1777		Vouchered:Registered Collection	Tissue									A																United States	Texas	Bell County		Fort Hood	3172141	http://www.boldsystems.org/pics/LNAUW/CCDB-30813-C06+1501696910.JPG	Ventral		Jacopo Dercole	2017	CreativeCommons - Attribution	Centre for Biodiversity Genomics	Jacopo Dercole
LNOA1024-16	MACN-Bar-Lep-ct 08129	7351618	MACN-Bar-Lep 08129		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAZ7818	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	172067	Danaus erippus			Ezequiel O. Nunez Bustos		Cramer, 1775					N. Garcia							adult	M	S						-27.2859	-65.876			950				Argentina	Tucuman	Departamento Chicligasta	Parque Nacional Campo de los Alisos	Seccional Santa Rosa									
LNOA859-16	MACN-Bar-Lep-ct 07964	7351453	MACN-Bar-Lep 07964		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAZ7478	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19690	Danaus eresimus			Ezequiel O. Nunez Bustos		Cramer, 1777					E. Nunez Bustos							adult	M	S						-27.2977	-65.8459			800				Argentina	Tucuman	Departamento Chicligasta	Parque Nacional Campo de los Alisos	Paraje La Jaya									
LYPAP524-09	MAL-02618	1143023	L-75961	L-75961	El Colegio de la Frontera Sur		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	19719	Danaus gilippus			Aixchel Maya		Cramer, 1775					Arsenio Xool							A		S				thersippus		19.722	-87.812			30				Mexico	Quintana Roo			Reserva de la Biosfera Sian ka`an: Estacion Santa									
MHMXE540-06	06-SRNP-3790	509979	06-SRNP-3790	06-SRNP-3790	University of Pennsylvania		BOLD:AAA9566	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	16902	Danaus plexippus					Linnaeus, 1758					Anabelle Cordoba					DHJ:ACG		A	F	S						10.878	-85.393			645				Costa Rica	Alajuela	Area de Conservacion Guanacaste	Sector San Cristobal	Finca San Gabriel	195434|195435	http://www.boldsystems.org/pics/MHMXE/06-SRNP-3790-DHJ351286+1175911672.jpg|http://www.boldsystems.org/pics/MHMXE/06-SRNP-3790-DHJ351287+1175911674.jpg	Dorsal|Ventral	|	Daniel H. Janzen|Daniel H. Janzen	2006|2006	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
MHMXO675-08	07-SRNP-57739	720998	07-SRNP-57739	07-SRNP-57739	University of Pennsylvania		BOLD:AAD6393	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3681	Danainae	6926	Danaus	962968	Danaus thersippusDHJ02			Daniel H. Janzen							Mariano Pereira					DHJ:ACG		A		S						10.767	-85.433			325				Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Sector Mundo Nuevo	Estacion La Perla	469786|469787	http://www.boldsystems.org/pics/MHAAD/07-SRNP-57739-DHJ378286+1213054082.jpg|http://www.boldsystems.org/pics/MHAAD/07-SRNP-57739-DHJ378287+1213054082.jpg	Dorsal|Ventral	|	Daniel H. Janzen|Daniel H. Janzen	2008|2008	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	Guanacaste Dry Forest Conservation Fund|Guanacaste Dry Forest Conservation Fund	Daniel H. Janzen|Daniel H. Janzen
